LOG NAME,LOG TYPE,LEVEL,KNOWLEDGE DESCRIPTION,ACTION,TOOL
USER-3-LIBJNX_EXEC_FAILED,error,critical,Một quá trình Junos được gọi là exec () gọi hệ thống trong khi tạo một tiến trình con để thực hiện lệnh chỉ định cho nó. Gọi hệ thống không thành công.,"Đây là thông báo, không phải lỗi",Telegram
USER-3-LIBJNX_SOCKET_FLUSH_TIMEOUT,error,critical,"Các quá trình khác nhau của hệ thống sử dụng các khe cắm cho Inter-process Communication, và trong giai đoạn chấm dứt của quá trình, ổ cắm sẽ được làm sạch để đảm bảo rằng tất cả các dữ liệu được gửi đã nhận được bởi quá trình đồng đẳng. Nếu thao tác tuôn ra mất quá nhiều thời gian, tuôn ra bị hủy bỏ và quá trình chấm dứt hoàn thành.",,Telegram
USER-4-DH_SVC_ROUTE_ADDITION_FAILURE,warn,info,Quá trình thêm Route thất bại,"Đây là thông báo, không phải lỗi",Telegram
USER-4-LIBJSNMP_NS_LOG_WARNING,warn,critical,Lỗi SNMP,Cảnh báo về sysadmin,Telegram
AUTH-3,error,,,,
CONFLICT-4,warn,,,,
CONFLICT-4-RPD_CFG_TRACE_FILE_MISSING,warn,,,,
DAEMON-3,error,,,,
DAEMON-3-BGP_WRITE_WOULD_BLOCK,error,,,,
DAEMON-3-CMLC,error,,,,
DAEMON-3-COSD_GENCFG_WRITE_FAILED,error,,,,
DAEMON-3-IFDE,error,,,,
DAEMON-3-JTASK_SCHED_SLIP,error,,,,
DAEMON-3-KCOM_LIB_ERROR,error,,,,
DAEMON-3-PS_FAILURE,error,,,,
DAEMON-3-SPD_CONN_FAILURE,error,,,,
DAEMON-3-WARNING,warn,,,,
DAEMON-4,warn,,,,
DAEMON-4-BGP_NLRI_MISMATCH,warn,,,,
DAEMON-4-DDOS_SCFD_FLOW_AGGREGATED,warn,,,,
DAEMON-4-RPD_RSVP_BYPASS_DOWN,warn,,,,
KERN-3,error,,,,
KERN-3-IF_MSG_IFD_BULK_ALARM,error,,,,
KERN-3-IF_MSG_IFD_BULK_MUP_DOWN,error,,,,
KERN-4,warn,,,,
NTP-3,error,,,,
PFE-3,error,,,,
PFE-4,warn,,,,
SYSLOG-3,error,,,,
USER-3,error,,,,
USER-4-UI_CLI_MMAP_INCREASE,warn,,,,
DAEMON-3-UI_CHILD_SIGNALED,error,,,,
